phi,psi
-61.09450912475586,167.86378479003906
-78.22978210449219,169.4564971923828
-97.00028228759766,158.67282104492188
-89.86054229736328,170.19248962402344
-96.16828918457031,-171.40113830566406
-108.46216583251953,162.97576904296875
-91.21001434326172,148.89056396484375
-75.96839904785156,156.66188049316406
-110.45691680908203,150.1597137451172
-85.56366729736328,157.08387756347656
-66.96619415283203,163.4606475830078
-74.76406860351562,160.46939086914062
-81.03084564208984,168.39146423339844
-73.52872467041016,177.44668579101562
-67.83272552490234,164.24363708496094
-78.52983093261719,159.95742797851562
-82.7726821899414,163.5919189453125
-69.30807495117188,153.5630340576172
-72.70492553710938,147.0509490966797
-69.19347381591797,142.7957305908203
-77.06134796142578,164.59243774414062
-72.05609130859375,162.12814331054688
-99.91710662841797,151.77012634277344
-67.45597076416016,165.49185180664062
-88.77802276611328,150.48941040039062
-71.70362854003906,150.8186492919922
-88.92906188964844,171.5350341796875
-78.16780853271484,139.8574981689453
-86.28886413574219,153.10293579101562
-92.10867309570312,175.06407165527344
-74.9959487915039,132.82223510742188
-101.34390258789062,137.9450225830078
-91.27354431152344,149.68971252441406
-72.89656066894531,-178.64306640625
-83.18791198730469,164.32130432128906
-96.34727478027344,142.59901428222656
-109.2072525024414,143.9617919921875
-83.53531646728516,156.25563049316406
-123.25628662109375,141.9990997314453
-102.09220123291016,168.7053985595703
-111.24394226074219,148.5149383544922
-105.8364028930664,140.76742553710938
-140.47421264648438,134.49569702148438
-106.17985534667969,-177.70921325683594
-129.4693603515625,163.2783203125
-104.01342010498047,168.7830810546875
-121.78752899169922,170.57151794433594
-107.5602035522461,168.1203155517578
-126.36420440673828,157.78848266601562
-124.64713287353516,167.7998504638672
-96.427734375,150.8158721923828
-105.90149688720703,158.07620239257812
-95.67094421386719,171.9680633544922
-104.64508056640625,160.66632080078125
-97.7159423828125,156.75735473632812
-107.06707763671875,150.64892578125
-69.0609130859375,166.16717529296875
-101.4364242553711,167.61871337890625
-84.05642700195312,171.3016357421875
-115.0367202758789,-178.41900634765625
-102.03704071044922,156.06179809570312
-133.36749267578125,151.8932342529297
-126.74756622314453,149.44374084472656
-118.87682342529297,154.515380859375
-119.27503967285156,150.31314086914062
-119.69667053222656,148.3247833251953
-112.61510467529297,166.30776977539062
-127.08023834228516,174.79702758789062
-100.5101318359375,132.63394165039062
-109.91325378417969,135.3839111328125
-79.7083511352539,147.51620483398438
-133.682861328125,129.87806701660156
-97.34817504882812,164.67543029785156
-84.68744659423828,154.07208251953125
-92.68415069580078,158.198974609375
-114.1991958618164,160.57708740234375
-107.2521743774414,153.53025817871094
-103.88790893554688,172.42727661132812
-113.54838562011719,165.17466735839844
-94.83504486083984,148.8378448486328
-97.73452758789062,148.5426025390625
-100.05848693847656,-177.4035186767578
-129.0927276611328,177.17857360839844
-98.80551147460938,169.4568328857422
-105.58795166015625,141.0
-90.04586791992188,162.5032501220703
-105.9374771118164,170.8955078125
-107.44751739501953,149.0003662109375
-129.0902099609375,155.64393615722656
-69.43821716308594,131.98907470703125
-69.1280517578125,154.6134033203125
-73.8879165649414,152.50906372070312
-87.52125549316406,155.9689483642578
-43.90956115722656,144.9502716064453
-82.19257354736328,-168.85287475585938
-64.69720458984375,165.96127319335938
-94.30913543701172,151.03070068359375
-88.79370880126953,170.93125915527344
-95.78348541259766,158.40078735351562
