POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
1,-9.8692,959.0245,0.0,40.7462,-47.6336,949.1553,-6.8873999999999995,942.2679
2,-7.82,962.1736,0.0,40.7982,-48.0094,954.3535999999999,-7.211199999999998,947.1423999999998
3,-8.8146,978.9467,0.0,41.3463,-48.0894,970.1320999999999,-6.743099999999998,963.389
4,-8.4502,962.9706,0.0,40.6611,-47.6247,954.5204,-6.9636,947.5568000000001
5,-9.4305,953.8404,0.0,40.6186,-47.8117,944.4099,-7.193100000000001,937.2168
6,-9.5525,948.8101,0.0,40.6611,-48.0149,939.2576,-7.3538,931.9038
7,-8.841,947.1442,0.0,41.0628,-47.8817,938.3032,-6.818899999999999,931.4843
8,-10.1541,960.1078,0.0,40.9777,-48.3815,949.9537,-7.403800000000004,942.5499000000001
9,-8.6579,967.3661,0.0,40.8738,-48.0316,958.7081999999999,-7.157799999999995,951.5503999999999
10,-8.993,954.9294,0.0,40.7651,-47.8982,945.9363999999999,-7.133100000000006,938.8032999999999
11,-10.092,973.2708,0.0,40.5288,-47.6852,963.1788,-7.156400000000005,956.0224000000001
12,-8.6339,996.7209,0.0,40.8218,-48.28,988.087,-7.458199999999998,980.6288
13,-9.6639,966.94,0.0,40.3162,-47.9533,957.2761,-7.637099999999997,949.639
14,-9.6515,955.455,0.0,41.0911,-47.6127,945.8035,-6.521599999999999,939.2819
15,-8.9109,965.2155,0.0,41.2754,-48.5549,956.3046,-7.279500000000006,949.0251000000001
16,-10.3326,966.2445,0.0,40.7556,-47.8299,955.9119000000001,-7.074300000000001,948.8376000000001
17,-9.9415,979.7388,0.0,40.7793,-48.6241,969.7973,-7.844799999999999,961.9525
18,-9.9029,961.8824,0.0,40.9588,-48.0862,951.9794999999999,-7.1274000000000015,944.8521
19,-8.1517,993.8596,0.0,40.7887,-48.4469,985.7079,-7.658200000000001,978.0496999999999
20,-8.7473,957.5701,0.0,40.9494,-48.6405,948.8228,-7.691100000000006,941.1317
21,-9.9307,965.7956,0.0,41.2518,-48.377,955.8649,-7.1251999999999995,948.7397000000001
22,-8.5181,969.4678,0.0,40.7651,-48.389,960.9497,-7.623900000000006,953.3258
23,-10.3542,991.1656,0.0,40.5383,-47.9679,980.8114,-7.429600000000001,973.3818000000001
24,-8.7815,970.5123,0.0,40.2879,-47.8947,961.7307999999999,-7.6068,954.124
25,-9.0471,953.9589,0.0,41.1006,-47.8277,944.9118,-6.7271,938.1846999999999
26,-9.9286,970.904,0.0,40.7556,-48.1982,960.9754,-7.442599999999999,953.5328
27,-8.1406,955.733,0.0,40.6139,-48.4402,947.5924,-7.826299999999996,939.7661
28,-9.0965,951.5015,0.0,40.973,-48.3584,942.405,-7.385400000000004,935.0196
29,-9.5302,969.6064,0.0,41.2754,-48.3626,960.0762,-7.087200000000003,952.9889999999999
30,-9.4609,963.9245,0.0,40.5147,-47.7679,954.4635999999999,-7.2532,947.2103999999999
31,-9.8011,970.4832,0.0,40.1414,-48.3446,960.6821,-8.203200000000002,952.4789
32,-9.2424,945.7588,0.0,40.7887,-48.378,936.5164,-7.5893000000000015,928.9270999999999
33,-9.5422,976.0547,0.0,40.7368,-47.7694,966.5125,-7.032599999999995,959.4799
34,-9.0516,967.9833,0.0,41.0297,-47.8368,958.9317,-6.807099999999998,952.1246
35,-9.6217,966.9558,0.0,41.2801,-48.3586,957.3340999999999,-7.078500000000005,950.2555999999998
36,-9.1135,964.9596,0.0,41.2187,-47.9654,955.8461,-6.746700000000004,949.0994
37,-9.373,945.643,0.0,40.9068,-47.95,936.27,-7.043200000000006,929.2267999999999
38,-9.3579,953.4978,0.0,41.2092,-48.4304,944.1399,-7.221199999999996,936.9187000000001
39,-8.8007,964.1734,0.0,41.1289,-48.2781,955.3727,-7.1492,948.2235000000001

DELTA Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-39.79120000000005,-551.3568999999991,0.0,-32.06629999999958,59.94280000000004,-591.1480999999991,27.876500000000462,-563.2715999999957
1,-38.03119999999999,-547.7144999999987,0.0,-30.667800000000128,58.472900000000095,-585.745700000001,27.805099999999968,-557.9405999999992
2,-33.27860000000026,-547.1358999999992,0.0,-29.169999999999895,56.32890000000006,-580.4145000000003,27.158900000000166,-553.2555999999996
3,-32.592800000000054,-548.5647000000022,0.0,-32.9406000000002,59.661800000000014,-581.1575000000022,26.72119999999981,-554.4363000000056
4,-40.87859999999977,-569.1802999999994,0.0,-32.623899999999786,61.14980000000006,-610.0588999999987,28.525900000000277,-581.5329999999974
5,-30.59029999999978,-548.648400000001,0.0,-31.045800000000085,58.08199999999991,-579.2386999999993,27.036199999999823,-552.2024999999975
6,-40.20309999999996,-544.9099,0.0,-31.078799999999966,59.25190000000008,-585.1130000000004,28.17310000000011,-556.9398999999976
7,-33.35409999999991,-552.9165000000005,0.0,-31.934099999999795,59.6157999999999,-586.2706000000013,27.681700000000106,-558.5889000000024
8,-34.68429999999964,-575.5929999999992,0.0,-33.22390000000004,61.90059999999998,-610.2772999999961,28.67669999999994,-581.6005999999999
9,-37.91429999999961,-584.6358000000007,0.0,-32.05229999999999,61.34279999999987,-622.5500999999994,29.29049999999988,-593.259600000001
10,-31.47480000000035,-571.182200000002,0.0,-32.24590000000027,59.537799999999976,-602.6570000000041,27.291899999999707,-575.3651000000067
11,-41.88700000000027,-559.6828000000003,0.0,-33.49330000000004,59.77110000000004,-601.5697999999996,26.2778,-575.2920000000033
12,-38.02170000000005,-541.3670999999993,0.0,-32.68999999999989,60.816699999999884,-579.3888000000011,28.126699999999992,-551.2621000000013
13,-40.323400000000234,-570.2939999999994,0.0,-32.27430000000029,60.02429999999991,-610.6174000000001,27.749999999999623,-582.8674
14,-38.31879999999995,-526.4718000000013,0.0,-31.319800000000114,58.154600000000165,-564.7906000000021,26.83480000000005,-537.9558000000015
15,-34.18740000000011,-572.7301999999997,0.0,-32.779900000000005,60.14619999999982,-606.9176000000012,27.366299999999818,-579.5513000000003
16,-39.303299999999766,-578.8740000000028,0.0,-30.724400000000102,58.56400000000013,-618.1773000000039,27.839600000000026,-590.3377000000048
17,-34.60090000000027,-615.0090000000026,0.0,-32.95470000000008,59.540300000000116,-649.6099000000047,26.585600000000035,-623.0243000000052
18,-36.64200000000032,-592.9120999999991,0.0,-31.07890000000009,58.63140000000002,-629.5540999999998,27.55249999999993,-602.0015999999995
19,-31.50210000000005,-576.7160000000006,0.0,-32.2600999999999,58.29889999999986,-608.2181000000006,26.03879999999996,-582.1793000000001
20,-38.934299999999894,-623.5034000000006,0.0,-33.0774999999999,59.91200000000006,-662.4377000000005,26.834500000000162,-635.6032000000033
21,-35.630599999999845,-603.5340999999995,0.0,-32.78939999999966,59.80189999999998,-639.1647000000007,27.012500000000323,-612.1521999999986
22,-38.13069999999993,-550.7587999999974,0.0,-32.20810000000021,58.6692999999999,-588.8894999999965,26.461199999999693,-562.4282999999972
23,-38.228800000000085,-540.0074999999995,0.0,-32.08999999999998,57.72940000000007,-578.2363000000018,25.639400000000087,-552.5969000000014
24,-25.909699999999752,-623.0243999999999,0.0,-30.78120000000009,57.740500000000054,-648.934100000001,26.959299999999963,-621.9748000000038
25,-35.90409999999997,-523.9156000000024,0.0,-30.200100000000262,57.347800000000184,-559.819700000002,27.147699999999922,-532.6720000000006
26,-30.81250000000019,-537.3962000000006,0.0,-30.88040000000005,56.752099999999885,-568.2087000000035,25.871699999999834,-542.3370000000023
27,-34.537199999999935,-532.5591999999995,0.0,-29.44400000000013,56.87190000000009,-567.0964000000008,27.42789999999996,-539.6685000000027
28,-32.50770000000022,-567.4008000000009,0.0,-30.303999999999675,55.242099999999866,-599.9085000000025,24.93810000000019,-574.9703999999987
29,-31.554200000000186,-596.1930999999998,0.0,-32.293099999999875,58.41330000000001,-627.7472999999995,26.120200000000132,-601.6270999999964
30,-36.37829999999989,-583.8062999999992,0.0,-31.42379999999985,57.60190000000006,-620.1846000000013,26.178100000000207,-594.0065000000031
31,-35.05420000000017,-595.232400000002,0.0,-33.03970000000029,60.02619999999989,-630.2866000000013,26.9864999999996,-603.3001000000021
32,-34.22419999999974,-533.9071000000007,0.0,-31.773399999999974,58.81680000000013,-568.1313000000005,27.043400000000155,-541.0879000000014
33,-38.99639999999986,-595.9128000000013,0.0,-31.570199999999986,60.12220000000011,-634.9092000000012,28.552000000000127,-606.3572000000001
34,-30.687799999999932,-542.8905000000015,0.0,-32.05689999999999,59.97700000000005,-573.5783000000037,27.920100000000055,-545.6582000000025
35,-34.85170000000031,-468.88420000000065,0.0,-29.99200000000024,59.39559999999981,-503.73589999999956,29.40359999999957,-474.3323000000013
36,-35.25819999999969,-486.93129999999826,0.0,-31.258400000000265,59.67080000000006,-522.1894999999979,28.412399999999792,-493.77710000000013
37,-35.94290000000006,-545.089899999999,0.0,-30.87090000000014,58.612200000000215,-581.0328000000004,27.741300000000074,-553.2915000000025
38,-30.22900000000024,-567.3373999999993,0.0,-30.199899999999836,57.19830000000005,-597.5663999999978,26.998400000000217,-570.5679999999974
39,-40.01789999999961,-468.71959999999706,0.0,-29.283299999999898,57.64120000000003,-508.73749999999575,28.357900000000136,-480.37959999999657


