#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
20000,-84981.58012892399,15484.62337182369,-69496.9567571003,302.06343684678825,64.0,0.9658409660837483,421
20500,-85266.27336622868,15484.465630509425,-69781.80773571925,302.06035973716956,64.0,0.9658409660837483,420
21000,-85561.79973341618,15395.044006557204,-70166.75572685897,300.31598388695807,64.0,0.9658409660837483,420
21500,-85879.95061232243,15425.5645807283,-70454.38603159413,300.9113583631261,64.0,0.9658409660837483,419
22000,-85562.82390333805,15284.186744918814,-70278.63715841924,298.15345628484357,64.0,0.9658409660837483,419
22500,-85658.98772169743,15386.850273369346,-70272.13744832808,300.15614614677554,64.0,0.9658409660837483,420
23000,-85474.5948994318,15284.656067207921,-70189.93883222388,298.16261150290944,64.0,0.9658409660837483,421
23500,-85485.94719435368,15145.245466177817,-70340.70172817586,295.4430848945545,64.0,0.9658409660837483,420
24000,-85039.79655958805,15305.062964474084,-69734.73359511397,298.5606952906503,64.0,0.9658409660837483,421
24500,-85018.85124708805,15316.627057627076,-69702.22418946098,298.786279706747,64.0,0.9658409660837483,421
25000,-85123.3497822443,15489.055068869144,-69634.29471337516,302.1498873602085,64.0,0.9658409660837483,421
25500,-85350.92326857243,15710.821782901883,-69640.10148567054,306.47596066599135,64.0,0.9658409660837483,420
26000,-85187.1329853693,15460.293616062962,-69726.83936930634,301.5888286198874,64.0,0.9658409660837483,420
26500,-85268.4093525568,15494.776250666007,-69773.6331018908,302.26149225978463,64.0,0.9658409660837483,419
27000,-85444.6115009943,15611.087286718714,-69833.52421427559,304.53040836123915,64.0,0.9658409660837483,420
27500,-85546.92326857243,15371.681576653966,-70175.24169191846,299.86024559095887,64.0,0.9658409660837483,421
28000,-85311.3966572443,15606.804161500302,-69704.592495744,304.4468560853554,64.0,0.9658409660837483,420
28500,-85305.26164747868,15478.422513928264,-69826.83913355041,301.9424747541164,64.0,0.9658409660837483,420
29000,-85311.64494825993,15493.34869319154,-69818.29625506839,302.2336444454284,64.0,0.9658409660837483,419
29500,-84944.2804463068,15325.108313676668,-69619.17213263013,298.95172624616873,64.0,0.9658409660837483,420
