#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1350000,-85669.22934866365,15348.858615604404,-70320.37073305924,298.7850405303193,64.0,0.9684105722189177,619
1400000,-85879.79770803865,15520.254211073276,-70359.54349696537,302.12147363074683,64.0,0.9684105722189177,619
1450000,-85380.94541311677,15361.746540783206,-70019.19887233357,299.0359203737876,64.0,0.9684105722189177,619
1500000,-85851.23935842927,15517.995072150137,-70333.24428627914,302.0774966203633,64.0,0.9684105722189177,619
1550000,-85782.94626760896,15375.920921217185,-70407.02534639178,299.3118427038137,64.0,0.9684105722189177,619
1600000,-85845.74582815584,15394.086881559808,-70451.65894659603,299.6654662098459,64.0,0.9684105722189177,619
1650000,-85770.68912649568,15691.301497579087,-70079.3876289166,305.45112645452633,64.0,0.9684105722189177,619
1700000,-85558.74228811677,15372.38601773011,-70186.35627038666,299.24303131476466,64.0,0.9684105722189177,619
1750000,-85952.77146292146,15951.416214225814,-70001.35524869565,310.51459000593417,64.0,0.9684105722189177,619
1800000,-86453.7230010074,15366.25411235448,-71087.46888865292,299.1236659833046,64.0,0.9684105722189177,619
1850000,-85789.82529592927,15301.748888537986,-70488.07640739129,297.8679898190304,64.0,0.9684105722189177,619
1900000,-85644.96915579255,15404.058650910622,-70240.91050488193,299.85957937384444,64.0,0.9684105722189177,619
1950000,-85858.59287405427,15225.554936074419,-70633.03793797985,296.38477769589264,64.0,0.9684105722189177,619
2000000,-85781.30906057771,15443.706635029288,-70337.60242554842,300.6313777751795,64.0,0.9684105722189177,619
2050000,-85947.6253447574,15341.463447993621,-70606.16189676378,298.6410841939133,64.0,0.9684105722189177,619
2100000,-85601.01535940584,15134.492661771656,-70466.52269763418,294.61213479131385,64.0,0.9684105722189177,619
2150000,-85824.52402639802,15322.219194708392,-70502.30483168963,298.2664703453006,64.0,0.9684105722189177,619
2200000,-86024.94236135896,15152.619145910372,-70872.32321544859,294.9649898428649,64.0,0.9684105722189177,619
2250000,-86621.74338674959,15459.730623284471,-71162.01276346511,300.94330507219786,64.0,0.9684105722189177,619
2300000,-86129.70334768709,15452.625756495167,-70677.07759119192,300.8049998102387,64.0,0.9684105722189177,619
2350000,-86185.30234671052,15689.67884633469,-70495.62350037583,305.4195394857513,64.0,0.9684105722189177,619
2400000,-85693.64896536287,15087.42288682051,-70606.22607854236,293.6958617987258,64.0,0.9684105722189177,619
2450000,-86355.12387991365,15429.462068584515,-70925.66181132913,300.35408918525064,64.0,0.9684105722189177,619
2500000,-85938.50278616365,15382.766713838471,-70555.73607232518,299.44510475782295,64.0,0.9684105722189177,619
2550000,-85819.10239553865,15503.364259814844,-70315.7381357238,301.7926892632776,64.0,0.9684105722189177,619
2600000,-85732.16587210115,14918.698547012755,-70813.4673250884,290.41142808476485,64.0,0.9684105722189177,619
2650000,-85571.87705374177,15324.513483652845,-70247.36357008893,298.3111315955228,64.0,0.9684105722189177,619
2700000,-85699.02073049959,14891.42672725534,-70807.59400324424,289.88054745216385,64.0,0.9684105722189177,619
2750000,-85528.40177298005,15651.516679431312,-69876.88509354874,304.676664404906,64.0,0.9684105722189177,619
2800000,-86443.99436331209,15203.293594455812,-71240.70076885627,295.95143238831304,64.0,0.9684105722189177,619
2850000,-85734.86679983552,15611.356478603557,-70123.51032123197,303.89489505432846,64.0,0.9684105722189177,618
2900000,-85688.84446096834,15529.110429505003,-70159.73403146333,302.29387117829987,64.0,0.9684105722189177,618
2950000,-86475.8323760074,15478.502030720469,-70997.33034528693,301.3087143753935,64.0,0.9684105722189177,618
