#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1500000,-85726.42204213428,15355.987177917152,-70370.43486421712,298.6338009368584,64.0,0.9693454206348489,618
1550000,-85607.63474965381,15770.131699664518,-69837.50304998929,306.68782906501735,64.0,0.9693454206348489,618
1600000,-86462.35331654834,15751.465733752746,-70710.88758279559,306.3248248319579,64.0,0.9693454206348489,618
1650000,-85970.52238393115,15459.852879878366,-70510.66950405278,300.65371727335145,64.0,0.9693454206348489,618
1700000,-86072.18681264209,15635.876284681726,-70436.31052796036,304.07691226701934,64.0,0.9693454206348489,618
1750000,-85997.15788197803,15491.029136228026,-70506.12874575,301.2600139460961,64.0,0.9693454206348489,617
1800000,-85995.25883412646,15255.609712028876,-70739.64912209759,296.6817216716625,64.0,0.9693454206348489,617
1850000,-86331.6834557085,15525.614102994325,-70806.06935271417,301.93260112405017,64.0,0.9693454206348489,617
1900000,-85633.7855675249,15865.283928482793,-69768.50163904211,308.53829113107577,64.0,0.9693454206348489,617
1950000,-86104.72526479053,15608.68506145291,-70496.04020333762,303.54811406923096,64.0,0.9693454206348489,617
2000000,-85731.20133900928,15434.8883468993,-70296.31299210998,300.1682223790295,64.0,0.9693454206348489,617
2050000,-86017.41758656787,15623.742248572875,-70393.675337995,303.84093699028153,64.0,0.9693454206348489,617
2100000,-85885.80876088428,15746.033432366676,-70139.7753285176,306.2191807732621,64.0,0.9693454206348489,617
2150000,-86355.94688344287,15552.588254056405,-70803.35862938646,302.45717783575117,64.0,0.9693454206348489,617
2200000,-85859.66111684131,15317.140734191518,-70542.52038264979,297.8783391740778,64.0,0.9693454206348489,617
2250000,-85922.85258412646,15122.62640925916,-70800.2261748673,294.0955441301517,64.0,0.9693454206348489,617
2300000,-85764.7826378374,15458.657464953838,-70306.12517288356,300.63046957859416,64.0,0.9693454206348489,617
2350000,-86339.9940025835,15385.641955786617,-70954.35204679688,299.21050883121194,64.0,0.9693454206348489,617
2400000,-85597.02336049365,15286.49813806708,-70310.52522242657,297.2824207974088,64.0,0.9693454206348489,617
2450000,-85966.09233022021,15287.952314398717,-70678.1400158215,297.3107007249783,64.0,0.9693454206348489,617
2500000,-85824.92735219287,15715.7390400031,-70109.18831218977,305.6300340493304,64.0,0.9693454206348489,616
2550000,-85459.43357777881,15303.032166744117,-70156.40141103469,297.60396442540315,64.0,0.9693454206348489,616
2600000,-85578.97868275928,15722.91616439959,-69856.06251835969,305.76961035357493,64.0,0.9693454206348489,616
2650000,-86170.45048451709,15515.857847821433,-70654.59263669566,301.7428674695847,64.0,0.9693454206348489,616
2700000,-85379.34074330615,15471.002725355793,-69908.33801795036,300.8705526155671,64.0,0.9693454206348489,616
2750000,-85940.5277550249,15553.794541167677,-70386.73321385722,302.4806369661142,64.0,0.9693454206348489,616
2800000,-86151.59257436084,15423.036147728097,-70728.55642663274,299.9377280938397,64.0,0.9693454206348489,616
2850000,-86350.2074425249,15195.847935846075,-71154.35950667883,295.51951137769504,64.0,0.9693454206348489,616
2900000,-86161.56608510303,15249.303013653262,-70912.26307144976,296.5590728777133,64.0,0.9693454206348489,616
2950000,-85840.59379506396,15409.212493154337,-70431.38130190963,299.66889415562594,64.0,0.9693454206348489,616
