#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1200000,-86711.34717259381,15451.281537052011,-71260.0656355418,301.4130271493695,64.0,0.9662038217358468,655
1250000,-86659.14105687116,15487.704091076623,-71171.43696579454,302.1235334098854,64.0,0.9662038217358468,655
1300000,-86623.19171605085,15225.999890204985,-71397.19182584586,297.01838693946024,64.0,0.9662038217358468,655
1350000,-86507.80853733991,15203.627241321374,-71304.18129601853,296.58195661429994,64.0,0.9662038217358468,654
1400000,-87040.52887425397,15452.098470858298,-71588.43040339567,301.4289633350473,64.0,0.9662038217358468,654
1450000,-86087.15637669538,15436.12460543681,-70651.03177125857,301.1173560990764,64.0,0.9662038217358468,654
1500000,-86213.16803441022,15759.74396930635,-70453.42406510387,307.4303012016664,64.0,0.9662038217358468,654
1550000,-86774.38135228131,15759.25329572102,-71015.1280565603,307.4207294771242,64.0,0.9662038217358468,654
1600000,-86428.34906468366,15182.985739300959,-71245.3633253827,296.17929631754953,64.0,0.9662038217358468,654
1650000,-86446.72125706647,15560.542262804694,-70886.17899426178,303.5444106219107,64.0,0.9662038217358468,654
1700000,-86489.37933812116,15418.83805631334,-71070.54128180782,300.7801419276968,64.0,0.9662038217358468,654
1750000,-85740.45148167585,15319.149433325976,-70421.30204834987,298.835484485858,64.0,0.9662038217358468,654
1800000,-86336.92731175397,15132.141590943094,-71204.78572081088,295.18746346325673,64.0,0.9662038217358468,654
1850000,-86914.10858616803,15154.120768733555,-71759.98781743448,295.61621822357813,64.0,0.9662038217358468,654
1900000,-86605.51825413678,15536.14767390443,-71069.37058023235,303.0685376744881,64.0,0.9662038217358468,654
1950000,-86827.08844456647,15767.06884533877,-71060.0195992277,307.5731898710063,64.0,0.9662038217358468,654
2000000,-86262.69550023053,15565.034509375226,-70697.66099085531,303.632042294033,64.0,0.9662038217358468,654
2050000,-86073.12933812116,15357.882593872724,-70715.24674424843,299.5910644772951,64.0,0.9662038217358468,654
2100000,-86172.82587132428,15392.196946776472,-70780.62892454781,300.260445392955,64.0,0.9662038217358468,653
2150000,-86484.76520237897,15242.450304768514,-71242.31489761046,297.33929036999865,64.0,0.9662038217358468,653
2200000,-86644.60614476178,15518.819513422088,-71125.7866313397,302.7305117771935,64.0,0.9662038217358468,653
2250000,-86340.36371312116,15420.547065315186,-70919.81664780597,300.81348010585606,64.0,0.9662038217358468,653
2300000,-86598.09467015241,15321.02048881445,-71277.07418133796,298.8719837559926,64.0,0.9662038217358468,653
2350000,-86286.1843918321,15637.86518748966,-70648.31920434244,305.0527733257712,64.0,0.9662038217358468,653
2400000,-86721.90655980085,15456.844086334924,-71265.06247346592,301.52153755441327,64.0,0.9662038217358468,653
2450000,-86365.91449437116,15567.81190195179,-70798.10259241937,303.68622176788944,64.0,0.9662038217358468,653
2500000,-86047.85248265241,15069.979106538463,-70977.87337611394,293.9748402543277,64.0,0.9662038217358468,653
2550000,-86382.88824925397,15684.800447853515,-70698.08780140046,305.9683542678691,64.0,0.9662038217358468,653
2600000,-86037.95453343366,15540.694348931313,-70497.26018450235,303.1572310996924,64.0,0.9662038217358468,653
2650000,-86046.64667210553,15513.593904258683,-70533.05276784685,302.62857416943825,64.0,0.9662038217358468,653
2700000,-86138.86493382428,15665.195197045803,-70473.66973677848,305.5859084506853,64.0,0.9662038217358468,653
2750000,-86469.78839573835,15377.039132280159,-71092.74926345819,299.9647571200214,64.0,0.9662038217358468,653
2800000,-86016.28949437116,15264.783842380799,-70751.50565199036,297.77495773924124,64.0,0.9662038217358468,652
2850000,-86528.44049534772,15317.310024079401,-71211.13047126832,298.7996025489554,64.0,0.9662038217358468,652
2900000,-86701.06940159772,15359.969859513454,-71341.09954208427,299.63178142713053,64.0,0.9662038217358468,652
2950000,-86494.18951878522,15436.334285928402,-71057.85523285682,301.1214464026253,64.0,0.9662038217358468,652
