#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1100000,-86523.16069071327,15335.192880000104,-71187.96781071316,298.5673432152258,64.0,0.9680735185677091,626
1150000,-86232.3661350492,15613.229028256843,-70619.13710679236,303.98054634559344,64.0,0.9680735185677091,625
1200000,-86752.22306864295,15475.079754841281,-71277.14331380167,301.29085982821084,64.0,0.9680735185677091,625
1250000,-86795.66130106483,15202.363667524187,-71593.29763354064,295.981235209892,64.0,0.9680735185677091,625
1300000,-86993.65251200233,15271.713593143271,-71721.93891885906,297.33143818459786,64.0,0.9680735185677091,625
1350000,-86532.41288797889,15363.647708224744,-71168.76517975415,299.12134227680633,64.0,0.9680735185677091,624
1400000,-86683.11564676795,15376.579230760457,-71306.5364160075,299.3731115474916,64.0,0.9680735185677091,624
1450000,-86510.3016819242,15219.495545510668,-71290.80613641354,296.3147829738319,64.0,0.9680735185677091,624
1500000,-86884.6708225492,15357.77106789779,-71526.89975465141,299.0069274857319,64.0,0.9680735185677091,623
1550000,-86413.55094950233,15428.443056599237,-70985.10789290309,300.3828702646354,64.0,0.9680735185677091,623
1600000,-86370.05375711952,15578.858134213602,-70791.19562290591,303.3113649014001,64.0,0.9680735185677091,623
1650000,-87006.00798075233,15303.86793990247,-71702.14004084986,297.9574647341064,64.0,0.9680735185677091,623
1700000,-86906.8671116117,15081.97243732633,-71824.89467428537,293.63728753164236,64.0,0.9680735185677091,623
1750000,-86775.57194559608,15463.45778675843,-71312.11415883765,301.0645868259355,64.0,0.9680735185677091,622
1800000,-86764.66947977577,15418.899555274751,-71345.76992450102,300.1970638090062,64.0,0.9680735185677091,622
1850000,-86662.15300028358,15097.65491779754,-71564.49808248604,293.9426163635621,64.0,0.9680735185677091,622
1900000,-87403.6298069242,15128.435538428894,-72275.19426849531,294.5418972592334,64.0,0.9680735185677091,622
1950000,-86388.43180887733,15512.43604988954,-70875.99575898779,302.01816530471837,64.0,0.9680735185677091,622
2000000,-86284.59794657264,15200.549807101721,-71084.04813947092,295.9459203956907,64.0,0.9680735185677091,621
2050000,-86821.41410868202,15377.460897342535,-71443.95321133948,299.3902770863324,64.0,0.9680735185677091,621
2100000,-85803.79130594764,15549.32325701043,-70254.46804893721,302.73633791036434,64.0,0.9680735185677091,621
2150000,-86346.66777079139,15353.219014757546,-70993.44875603385,298.9183016417082,64.0,0.9680735185677091,621
2200000,-87164.54460184608,15527.628306236584,-71636.9162956095,302.3139497562395,64.0,0.9680735185677091,621
2250000,-86849.32646219764,15668.836890793871,-71180.48957140377,305.0631992935855,64.0,0.9680735185677091,621
2300000,-86662.07072489295,15204.96346633439,-71457.10725855856,296.03185179031135,64.0,0.9680735185677091,621
2350000,-86919.9989475492,15315.583639627788,-71604.41530792142,298.1855626372934,64.0,0.9680735185677091,621
2400000,-86646.4413303617,15218.09450712311,-71428.3468232386,296.28750556608173,64.0,0.9680735185677091,621
2450000,-86381.96794168983,15906.381949311006,-70475.58599237882,309.6880643063929,64.0,0.9680735185677091,621
2500000,-86431.54850809608,15414.441258164123,-71017.10724993196,300.1102633406977,64.0,0.9680735185677091,620
2550000,-86357.23191874061,15150.330289475853,-71206.90162926476,294.9681754092119,64.0,0.9680735185677091,620
2600000,-86532.8290256742,15330.02221791516,-71202.80680775904,298.4666734125408,64.0,0.9680735185677091,620
2650000,-86250.60661356483,15439.03649963392,-70811.57011393091,300.5891184786041,64.0,0.9680735185677091,620
2700000,-86596.98674051795,15576.839467997954,-71020.14727252,303.2720626367621,64.0,0.9680735185677091,620
2750000,-86731.60173075233,15639.959134248289,-71091.64259650404,304.5009660620051,64.0,0.9680735185677091,620
2800000,-86643.32743876014,15568.761762941955,-71074.56567581819,303.1147943874014,64.0,0.9680735185677091,620
2850000,-86694.3534397367,15257.23450444336,-71437.11893529334,297.04953869502907,64.0,0.9680735185677091,620
2900000,-86556.26371805702,15507.938695309684,-71048.32502274733,301.9306044100552,64.0,0.9680735185677091,620
2950000,-86475.35966532264,15618.67716905661,-70856.68249626603,304.086618498502,64.0,0.9680735185677091,620
